author_id,created_at,sentiment,text,sentiment_score
1551497101,2024-11-27 10:35:40+00:00,Neutral,RT @xavilovic: Vaig dubtar de Pedri González i vinc (per segon o tercer cop aquesta temporada) a demanar perdó.,0.0
756301435,2024-11-27 10:35:37+00:00,Positive,"RT @BarcaTimes: Zubimendi's top 3 midfielders: Rodri, Pedri and Busquets. #fcblive 🇪🇸 https://t.co/0TrobfoJsZ",0.2023
1095114488,2024-11-27 10:35:37+00:00,Positive,"RT @kingsmdts: Lo que quiere Pedri:

Fuera en 8vos vs PSG
Fuera en 4tos de UEL vs Eintracht 
Fuera en 16vos de UEL vs United
Fuera en 4tos…",0.4215
1603813622257709056,2024-11-27 10:35:36+00:00,Positive,"RT @Asensii20: You asked for it!

237 players in the top 5 leagues who have completed more dribbles than Pedri this season.

1. Vinicius Ju…",0.2714
1510715992233676813,2024-11-27 10:35:35+00:00,Neutral,"RT @MagicalXavi: Pedri Gonzalez vs Stade Brest 

@Pedri

https://t.co/Hgvcz7UQGp",0.0
1648681438672289794,2024-11-27 10:35:34+00:00,Neutral,RT @Paadoudout: Les PP Phil Foden qui se transforme en PP Pedri 😭 https://t.co/XOGCwi8TR7,0.0
193608204,2024-11-27 10:35:33+00:00,Positive,RT @AnabellaMarvy: 20 consecutive matches with 0 injuries for Pedri. Thank you Hansi flick https://t.co/7vGyFRrWZt,0.3612
142736143,2024-11-27 10:35:33+00:00,Neutral,"RT @sport: Pedri en zona mixta:

“Que te coreen en el club de tu vida es impresionante. Ojalá pueda retirarme aquí, aunque soy muy joven y…",0.0
1636060021405433860,2024-11-27 10:35:33+00:00,Neutral,"RT @BarcaUniversal: Pedri's heatmap vs Brest. 

He is everywhere. https://t.co/fIHzwPJMtI",0.0
1659527631937609728,2024-11-27 10:35:32+00:00,Neutral,"RT @SofascoreINT: ⚠️ | QUICK STAT

Pedri among all midfielders in the #UCL today:

• Most touches (112)
• Most accurate long balls (12)
• M…",0.0
